year,variable,value,scenario,model
1850,tas,13.224239,historical,MPI-ESM1-2-LR
1851,tas,13.154641,historical,MPI-ESM1-2-LR
1852,tas,13.214475,historical,MPI-ESM1-2-LR
1853,tas,13.697613,historical,MPI-ESM1-2-LR
1854,tas,13.276391,historical,MPI-ESM1-2-LR
1855,tas,13.187977,historical,MPI-ESM1-2-LR
1856,tas,13.266447,historical,MPI-ESM1-2-LR
1857,tas,13.444168,historical,MPI-ESM1-2-LR
1858,tas,13.310437,historical,MPI-ESM1-2-LR
1859,tas,13.304351,historical,MPI-ESM1-2-LR
1860,tas,13.397912,historical,MPI-ESM1-2-LR
1861,tas,13.575553,historical,MPI-ESM1-2-LR
1862,tas,13.309657,historical,MPI-ESM1-2-LR
1863,tas,13.229119,historical,MPI-ESM1-2-LR
1864,tas,13.369272,historical,MPI-ESM1-2-LR
1865,tas,13.453851,historical,MPI-ESM1-2-LR
1866,tas,13.271272,historical,MPI-ESM1-2-LR
1867,tas,13.101412,historical,MPI-ESM1-2-LR
1868,tas,13.160484,historical,MPI-ESM1-2-LR
1869,tas,13.334745,historical,MPI-ESM1-2-LR
1870,tas,13.259799,historical,MPI-ESM1-2-LR
1871,tas,13.179614,historical,MPI-ESM1-2-LR
1872,tas,13.220947,historical,MPI-ESM1-2-LR
1873,tas,13.351684,historical,MPI-ESM1-2-LR
1874,tas,13.039964,historical,MPI-ESM1-2-LR
1875,tas,13.225721,historical,MPI-ESM1-2-LR
1876,tas,13.008449,historical,MPI-ESM1-2-LR
1877,tas,13.181135,historical,MPI-ESM1-2-LR
1878,tas,13.213622,historical,MPI-ESM1-2-LR
1879,tas,13.34726,historical,MPI-ESM1-2-LR
1880,tas,13.051733,historical,MPI-ESM1-2-LR
1881,tas,13.18565,historical,MPI-ESM1-2-LR
1882,tas,13.292156,historical,MPI-ESM1-2-LR
1883,tas,13.364126,historical,MPI-ESM1-2-LR
1884,tas,13.000878,historical,MPI-ESM1-2-LR
1885,tas,12.994164,historical,MPI-ESM1-2-LR
1886,tas,13.187908,historical,MPI-ESM1-2-LR
1887,tas,13.254384,historical,MPI-ESM1-2-LR
1888,tas,13.568525,historical,MPI-ESM1-2-LR
1889,tas,13.365047,historical,MPI-ESM1-2-LR
