year,variable,value,scenario,model
1850,tas,15.46782,historical,MPI-ESM1-2-LR
1851,tas,15.534445,historical,MPI-ESM1-2-LR
1852,tas,15.390549,historical,MPI-ESM1-2-LR
1853,tas,15.69661,historical,MPI-ESM1-2-LR
1854,tas,15.477052,historical,MPI-ESM1-2-LR
1855,tas,15.430264,historical,MPI-ESM1-2-LR
1856,tas,15.274636,historical,MPI-ESM1-2-LR
1857,tas,15.478907,historical,MPI-ESM1-2-LR
1858,tas,15.203524,historical,MPI-ESM1-2-LR
1859,tas,15.391287,historical,MPI-ESM1-2-LR
1860,tas,15.493593,historical,MPI-ESM1-2-LR
1861,tas,15.629363,historical,MPI-ESM1-2-LR
1862,tas,15.274132,historical,MPI-ESM1-2-LR
1863,tas,15.479386,historical,MPI-ESM1-2-LR
1864,tas,15.551354,historical,MPI-ESM1-2-LR
1865,tas,15.494823,historical,MPI-ESM1-2-LR
1866,tas,15.288055,historical,MPI-ESM1-2-LR
1867,tas,15.385585,historical,MPI-ESM1-2-LR
1868,tas,15.448259,historical,MPI-ESM1-2-LR
1869,tas,15.47687,historical,MPI-ESM1-2-LR
1870,tas,15.607858,historical,MPI-ESM1-2-LR
1871,tas,15.335845,historical,MPI-ESM1-2-LR
1872,tas,15.380258,historical,MPI-ESM1-2-LR
1873,tas,15.364152,historical,MPI-ESM1-2-LR
1874,tas,15.446263,historical,MPI-ESM1-2-LR
1875,tas,15.296518,historical,MPI-ESM1-2-LR
1876,tas,15.40203,historical,MPI-ESM1-2-LR
1877,tas,15.210759,historical,MPI-ESM1-2-LR
1878,tas,15.257262,historical,MPI-ESM1-2-LR
1879,tas,15.57993,historical,MPI-ESM1-2-LR
1880,tas,15.34763,historical,MPI-ESM1-2-LR
1881,tas,15.416161,historical,MPI-ESM1-2-LR
1882,tas,15.427029,historical,MPI-ESM1-2-LR
1883,tas,15.320331,historical,MPI-ESM1-2-LR
1884,tas,15.139823,historical,MPI-ESM1-2-LR
1885,tas,15.23863,historical,MPI-ESM1-2-LR
